arabic,english,reference,category,origin
ٱلَّذِینَ یَسۡتَحِبُّونَ ٱلۡحَیَوٰةَ ٱلدُّنۡیَا عَلَى ٱلۡـَٔاخِرَةِ وَیَصُدُّونَ عَن سَبِیلِ ٱللَّهِ وَیَبۡغُونَهَا عِوَجًاۚ أُو۟لَـٰۤىِٕكَ فِی ضَلَـٰلِۭ بَعِیدࣲ,"The ones who prefer the worldly life over the Hereafter and avert [people] from the way of Allah, seeking to make it (seem) deviant. Those are in extreme error.",Ibrahim 14:3,General,Makki
وَمَاۤ أَرۡسَلۡنَا مِن رَّسُولٍ إِلَّا بِلِسَانِ قَوۡمِهِۦ لِیُبَیِّنَ لَهُمۡۖ فَیُضِلُّ ٱللَّهُ مَن یَشَاۤءُ وَیَهۡدِی مَن یَشَاۤءُۚ وَهُوَ ٱلۡعَزِیزُ ٱلۡحَكِیمُ,"And We did not send any messenger except [speaking] in the language of his people to state clearly for them, and Allah sends astray [thereby] whom He wills and guides whom He wills. And He is the Exalted in Might, the Wise.",Ibrahim 14:4,General,Makki
وَلَقَدۡ أَرۡسَلۡنَا مُوسَىٰ بِـَٔایَـٰتِنَاۤ أَنۡ أَخۡرِجۡ قَوۡمَكَ مِنَ ٱلظُّلُمَـٰتِ إِلَى ٱلنُّورِ وَذَكِّرۡهُم بِأَیَّىٰمِ ٱللَّهِۚ إِنَّ فِی ذَ ٰ⁠لِكَ لَـَٔایَـٰتࣲ لِّكُلِّ صَبَّارࣲ شَكُورࣲ,"And We certainly sent Moses with Our signs, [saying], ""Bring out your people from darknesses into the light and remind them of the days of Allah."" Indeed in that are signs for everyone patient and grateful.",Ibrahim 14:5,General,Makki
وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِ ٱذۡكُرُوا۟ نِعۡمَةَ ٱللَّهِ عَلَیۡكُمۡ إِذۡ أَنجَىٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ یَسُومُونَكُمۡ سُوۤءَ ٱلۡعَذَابِ وَیُذَبِّحُونَ أَبۡنَاۤءَكُمۡ وَیَسۡتَحۡیُونَ نِسَاۤءَكُمۡۚ وَفِی ذَ ٰ⁠لِكُم بَلَاۤءࣱ مِّن رَّبِّكُمۡ عَظِیمࣱ,"And [recall, O Children of Israel], when Moses said to His people, ""Remember the favor of Allah upon you when He saved you from the people of Pharaoh, who were afflicting you with the worst torment and were slaughtering your [newborn] sons and keeping your females alive. And in that was a great trial from your Lord.",Ibrahim 14:6,General,Makki
وَإِذۡ تَأَذَّنَ رَبُّكُمۡ لَىِٕن شَكَرۡتُمۡ لَأَزِیدَنَّكُمۡۖ وَلَىِٕن كَفَرۡتُمۡ إِنَّ عَذَابِی لَشَدِیدࣱ,"And [remember] when your Lord proclaimed, 'If you are grateful, I will surely increase you [in favor]; but if you deny, indeed, My punishment is severe.' """,Ibrahim 14:7,Gratitude & Thankfulness,Makki
وَقَالَ مُوسَىٰۤ إِن تَكۡفُرُوۤا۟ أَنتُمۡ وَمَن فِی ٱلۡأَرۡضِ جَمِیعࣰا فَإِنَّ ٱللَّهَ لَغَنِیٌّ حَمِیدٌ,"And Moses said, ""If you should disbelieve, you and whoever is on the earth entirely - indeed, Allah is Free of need and Praiseworthy.""",Ibrahim 14:8,General,Makki
أَلَمۡ یَأۡتِكُمۡ نَبَؤُا۟ ٱلَّذِینَ مِن قَبۡلِكُمۡ قَوۡمِ نُوحࣲ وَعَادࣲ وَثَمُودَ وَٱلَّذِینَ مِنۢ بَعۡدِهِمۡ لَا یَعۡلَمُهُمۡ إِلَّا ٱللَّهُۚ جَاۤءَتۡهُمۡ رُسُلُهُم بِٱلۡبَیِّنَـٰتِ فَرَدُّوۤا۟ أَیۡدِیَهُمۡ فِیۤ أَفۡوَ ٰ⁠هِهِمۡ وَقَالُوۤا۟ إِنَّا كَفَرۡنَا بِمَاۤ أُرۡسِلۡتُم بِهِۦ وَإِنَّا لَفِی شَكࣲّ مِّمَّا تَدۡعُونَنَاۤ إِلَیۡهِ مُرِیبࣲ,"Has there not reached you the news of those before you - the people of Noah and 'Aad and Thamud and those after them? No one knows them but Allah. Their messengers brought them clear proofs, but they returned their hands to their mouths and said, ""Indeed, we disbelieve in that with which you have been sent, and indeed we are, about that to which you invite us, in disquieting doubt.""",Ibrahim 14:9,General,Makki
۞ قَالَتۡ رُسُلُهُمۡ أَفِی ٱللَّهِ شَكࣱّ فَاطِرِ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضِۖ یَدۡعُوكُمۡ لِیَغۡفِرَ لَكُم مِّن ذُنُوبِكُمۡ وَیُؤَخِّرَكُمۡ إِلَىٰۤ أَجَلࣲ مُّسَمࣰّىۚ قَالُوۤا۟ إِنۡ أَنتُمۡ إِلَّا بَشَرࣱ مِّثۡلُنَا تُرِیدُونَ أَن تَصُدُّونَا عَمَّا كَانَ یَعۡبُدُ ءَابَاۤؤُنَا فَأۡتُونَا بِسُلۡطَـٰنࣲ مُّبِینࣲ,"Their messengers said, ""Can there be doubt about Allah, Creator of the heavens and earth? He invites you that He may forgive you of your sins, and He delays your death for a specified term."" They said, ""You are not but men like us who wish to avert us from what our fathers were worshipping. So bring us a clear authority.""",Ibrahim 14:10,General,Makki
قَالَتۡ لَهُمۡ رُسُلُهُمۡ إِن نَّحۡنُ إِلَّا بَشَرࣱ مِّثۡلُكُمۡ وَلَـٰكِنَّ ٱللَّهَ یَمُنُّ عَلَىٰ مَن یَشَاۤءُ مِنۡ عِبَادِهِۦۖ وَمَا كَانَ لَنَاۤ أَن نَّأۡتِیَكُم بِسُلۡطَـٰنٍ إِلَّا بِإِذۡنِ ٱللَّهِۚ وَعَلَى ٱللَّهِ فَلۡیَتَوَكَّلِ ٱلۡمُؤۡمِنُونَ,"Their messengers said to them, ""We are only men like you, but Allah confers favor upon whom He wills of His servants. It has never been for us to bring you evidence except by permission of Allah. And upon Allah let the believers rely.",Ibrahim 14:11,Trust in Allah (Tawakkul),Makki
وَمَا لَنَاۤ أَلَّا نَتَوَكَّلَ عَلَى ٱللَّهِ وَقَدۡ هَدَىٰنَا سُبُلَنَاۚ وَلَنَصۡبِرَنَّ عَلَىٰ مَاۤ ءَاذَیۡتُمُونَاۚ وَعَلَى ٱللَّهِ فَلۡیَتَوَكَّلِ ٱلۡمُتَوَكِّلُونَ,"And why should we not rely upon Allah while He has guided us to our [good] ways. And we will surely be patient against whatever harm you should cause us. And upon Allah let those who would rely [indeed] rely.""",Ibrahim 14:12,General,Makki
وَقَالَ ٱلَّذِینَ كَفَرُوا۟ لِرُسُلِهِمۡ لَنُخۡرِجَنَّكُم مِّنۡ أَرۡضِنَاۤ أَوۡ لَتَعُودُنَّ فِی مِلَّتِنَاۖ فَأَوۡحَىٰۤ إِلَیۡهِمۡ رَبُّهُمۡ لَنُهۡلِكَنَّ ٱلظَّـٰلِمِینَ,"And those who disbelieved said to their messengers, ""We will surely drive you out of our land, or you must return to our religion."" So their Lord inspired to them, ""We will surely destroy the wrongdoers.",Ibrahim 14:13,General,Makki
وَلَنُسۡكِنَنَّكُمُ ٱلۡأَرۡضَ مِنۢ بَعۡدِهِمۡۚ ذَ ٰ⁠لِكَ لِمَنۡ خَافَ مَقَامِی وَخَافَ وَعِیدِ,"And We will surely cause you to dwell in the land after them. That is for he who fears My position and fears My threat.""",Ibrahim 14:14,General,Makki
وَٱسۡتَفۡتَحُوا۟ وَخَابَ كُلُّ جَبَّارٍ عَنِیدࣲ,"And they requested victory from Allah, and disappointed, [therefore], was every obstinate tyrant.",Ibrahim 14:15,General,Makki
مِّن وَرَاۤىِٕهِۦ جَهَنَّمُ وَیُسۡقَىٰ مِن مَّاۤءࣲ صَدِیدࣲ,"Before him is Hell, and he will be given a drink of purulent water.",Ibrahim 14:16,General,Makki
یَتَجَرَّعُهُۥ وَلَا یَكَادُ یُسِیغُهُۥ وَیَأۡتِیهِ ٱلۡمَوۡتُ مِن كُلِّ مَكَانࣲ وَمَا هُوَ بِمَیِّتࣲۖ وَمِن وَرَاۤىِٕهِۦ عَذَابٌ غَلِیظࣱ,"He will gulp it but will hardly [be able to] swallow it. And death will come to him from everywhere, but he is not to die. And before him is a massive punishment.",Ibrahim 14:17,General,Makki
مَّثَلُ ٱلَّذِینَ كَفَرُوا۟ بِرَبِّهِمۡۖ أَعۡمَـٰلُهُمۡ كَرَمَادٍ ٱشۡتَدَّتۡ بِهِ ٱلرِّیحُ فِی یَوۡمٍ عَاصِفࣲۖ لَّا یَقۡدِرُونَ مِمَّا كَسَبُوا۟ عَلَىٰ شَیۡءࣲۚ ذَ ٰ⁠لِكَ هُوَ ٱلضَّلَـٰلُ ٱلۡبَعِیدُ,The example of those who disbelieve in their Lord is [that] their deeds are like ashes which the wind blows forcefully on a stormy day; they are unable [to keep] from what they earned a [single] thing. That is what is extreme error.,Ibrahim 14:18,General,Makki
أَلَمۡ تَرَ أَنَّ ٱللَّهَ خَلَقَ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضَ بِٱلۡحَقِّۚ إِن یَشَأۡ یُذۡهِبۡكُمۡ وَیَأۡتِ بِخَلۡقࣲ جَدِیدࣲ,"Have you not seen that Allah created the heavens and the earth in truth? If He wills, He can do away with you and produce a new creation.",Ibrahim 14:19,General,Makki
وَمَا ذَ ٰ⁠لِكَ عَلَى ٱللَّهِ بِعَزِیزࣲ,And that is not difficult for Allah.,Ibrahim 14:20,General,Makki
وَبَرَزُوا۟ لِلَّهِ جَمِیعࣰا فَقَالَ ٱلضُّعَفَـٰۤؤُا۟ لِلَّذِینَ ٱسۡتَكۡبَرُوۤا۟ إِنَّا كُنَّا لَكُمۡ تَبَعࣰا فَهَلۡ أَنتُم مُّغۡنُونَ عَنَّا مِنۡ عَذَابِ ٱللَّهِ مِن شَیۡءࣲۚ قَالُوا۟ لَوۡ هَدَىٰنَا ٱللَّهُ لَهَدَیۡنَـٰكُمۡۖ سَوَاۤءٌ عَلَیۡنَاۤ أَجَزِعۡنَاۤ أَمۡ صَبَرۡنَا مَا لَنَا مِن مَّحِیصࣲ,"And they will come out [for judgement] before Allah all together, and the weak will say to those who were arrogant, ""Indeed, we were your followers, so can you avail us anything against the punishment of Allah?"" They will say, ""If Allah had guided us, we would have guided you. It is all the same for us whether we show intolerance or are patient: there is for us no place of escape.""",Ibrahim 14:21,General,Makki
وَقَالَ ٱلشَّیۡطَـٰنُ لَمَّا قُضِیَ ٱلۡأَمۡرُ إِنَّ ٱللَّهَ وَعَدَكُمۡ وَعۡدَ ٱلۡحَقِّ وَوَعَدتُّكُمۡ فَأَخۡلَفۡتُكُمۡۖ وَمَا كَانَ لِیَ عَلَیۡكُم مِّن سُلۡطَـٰنٍ إِلَّاۤ أَن دَعَوۡتُكُمۡ فَٱسۡتَجَبۡتُمۡ لِیۖ فَلَا تَلُومُونِی وَلُومُوۤا۟ أَنفُسَكُمۖ مَّاۤ أَنَا۠ بِمُصۡرِخِكُمۡ وَمَاۤ أَنتُم بِمُصۡرِخِیَّ إِنِّی كَفَرۡتُ بِمَاۤ أَشۡرَكۡتُمُونِ مِن قَبۡلُۗ إِنَّ ٱلظَّـٰلِمِینَ لَهُمۡ عَذَابٌ أَلِیمࣱ,"And Satan will say when the matter has been concluded, ""Indeed, Allah had promised you the promise of truth. And I promised you, but I betrayed you. But I had no authority over you except that I invited you, and you responded to me. So do not blame me; but blame yourselves. I cannot be called to your aid, nor can you be called to my aid. Indeed, I deny your association of me [with Allah] before. Indeed, for the wrongdoers is a painful punishment.""",Ibrahim 14:22,General,Makki
وَأُدۡخِلَ ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ جَنَّـٰتࣲ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ خَـٰلِدِینَ فِیهَا بِإِذۡنِ رَبِّهِمۡۖ تَحِیَّتُهُمۡ فِیهَا سَلَـٰمٌ,"And those who believed and did righteous deeds will be admitted to gardens beneath which rivers flow, abiding eternally therein by permission of their Lord; and their greeting therein will be, ""Peace!""",Ibrahim 14:23,General,Makki
أَلَمۡ تَرَ كَیۡفَ ضَرَبَ ٱللَّهُ مَثَلࣰا كَلِمَةࣰ طَیِّبَةࣰ كَشَجَرَةࣲ طَیِّبَةٍ أَصۡلُهَا ثَابِتࣱ وَفَرۡعُهَا فِی ٱلسَّمَاۤءِ,"Have you not considered how Allah presents an example, [making] a good word like a good tree, whose root is firmly fixed and its branches [high] in the sky?",Ibrahim 14:24,General,Makki
تُؤۡتِیۤ أُكُلَهَا كُلَّ حِینِۭ بِإِذۡنِ رَبِّهَاۗ وَیَضۡرِبُ ٱللَّهُ ٱلۡأَمۡثَالَ لِلنَّاسِ لَعَلَّهُمۡ یَتَذَكَّرُونَ,"It produces its fruit all the time, by permission of its Lord. And Allah presents examples for the people that perhaps they will be reminded.",Ibrahim 14:25,General,Makki
وَمَثَلُ كَلِمَةٍ خَبِیثَةࣲ كَشَجَرَةٍ خَبِیثَةٍ ٱجۡتُثَّتۡ مِن فَوۡقِ ٱلۡأَرۡضِ مَا لَهَا مِن قَرَارࣲ,"And the example of a bad word is like a bad tree, uprooted from the surface of the earth, not having any stability.",Ibrahim 14:26,General,Makki
یُثَبِّتُ ٱللَّهُ ٱلَّذِینَ ءَامَنُوا۟ بِٱلۡقَوۡلِ ٱلثَّابِتِ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَا وَفِی ٱلۡـَٔاخِرَةِۖ وَیُضِلُّ ٱللَّهُ ٱلظَّـٰلِمِینَۚ وَیَفۡعَلُ ٱللَّهُ مَا یَشَاۤءُ,"Allah keeps firm those who believe, with the firm word, in worldly life and in the Hereafter. And Allah sends astray the wrongdoers. And Allah does what He wills.",Ibrahim 14:27,General,Makki
۞ أَلَمۡ تَرَ إِلَى ٱلَّذِینَ بَدَّلُوا۟ نِعۡمَتَ ٱللَّهِ كُفۡرࣰا وَأَحَلُّوا۟ قَوۡمَهُمۡ دَارَ ٱلۡبَوَارِ,Have you not considered those who exchanged the favor of Allah for disbelief and settled their people [in] the home of ruin?,Ibrahim 14:28,General,Makki
جَهَنَّمَ یَصۡلَوۡنَهَاۖ وَبِئۡسَ ٱلۡقَرَارُ,"[It is] Hell, which they will [enter to] burn, and wretched is the settlement.",Ibrahim 14:29,General,Makki
وَجَعَلُوا۟ لِلَّهِ أَندَادࣰا لِّیُضِلُّوا۟ عَن سَبِیلِهِۦۗ قُلۡ تَمَتَّعُوا۟ فَإِنَّ مَصِیرَكُمۡ إِلَى ٱلنَّارِ,"And they have attributed to Allah equals to mislead [people] from His way. Say, ""Enjoy yourselves, for indeed, your destination is the Fire.""",Ibrahim 14:30,General,Makki
قُل لِّعِبَادِیَ ٱلَّذِینَ ءَامَنُوا۟ یُقِیمُوا۟ ٱلصَّلَوٰةَ وَیُنفِقُوا۟ مِمَّا رَزَقۡنَـٰهُمۡ سِرࣰّا وَعَلَانِیَةࣰ مِّن قَبۡلِ أَن یَأۡتِیَ یَوۡمࣱ لَّا بَیۡعࣱ فِیهِ وَلَا خِلَـٰلٌ,"[O Muhammad], tell My servants who have believed to establish prayer and spend from what We have provided them, secretly and publicly, before a Day comes in which there will be no exchange, nor any friendships.",Ibrahim 14:31,General,Makki
ٱللَّهُ ٱلَّذِی خَلَقَ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضَ وَأَنزَلَ مِنَ ٱلسَّمَاۤءِ مَاۤءࣰ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَ ٰ⁠تِ رِزۡقࣰا لَّكُمۡۖ وَسَخَّرَ لَكُمُ ٱلۡفُلۡكَ لِتَجۡرِیَ فِی ٱلۡبَحۡرِ بِأَمۡرِهِۦۖ وَسَخَّرَ لَكُمُ ٱلۡأَنۡهَـٰرَ,It is Allah who created the heavens and the earth and sent down rain from the sky and produced thereby some fruits as provision for you and subjected for you the ships to sail through the sea by His command and subjected for you the rivers.,Ibrahim 14:32,General,Makki
وَسَخَّرَ لَكُمُ ٱلشَّمۡسَ وَٱلۡقَمَرَ دَاۤىِٕبَیۡنِۖ وَسَخَّرَ لَكُمُ ٱلَّیۡلَ وَٱلنَّهَارَ,"And He subjected for you the sun and the moon, continuous [in orbit], and subjected for you the night and the day.",Ibrahim 14:33,General,Makki
وَءَاتَىٰكُم مِّن كُلِّ مَا سَأَلۡتُمُوهُۚ وَإِن تَعُدُّوا۟ نِعۡمَتَ ٱللَّهِ لَا تُحۡصُوهَاۤۗ إِنَّ ٱلۡإِنسَـٰنَ لَظَلُومࣱ كَفَّارࣱ,"And He gave you from all you asked of Him. And if you should count the favor of Allah, you could not enumerate them. Indeed, mankind is [generally] most unjust and ungrateful.",Ibrahim 14:34,General,Makki
وَإِذۡ قَالَ إِبۡرَ ٰ⁠هِیمُ رَبِّ ٱجۡعَلۡ هَـٰذَا ٱلۡبَلَدَ ءَامِنࣰا وَٱجۡنُبۡنِی وَبَنِیَّ أَن نَّعۡبُدَ ٱلۡأَصۡنَامَ,"And [mention, O Muhammad], when Abraham said, ""My Lord, make this city [Makkah] secure and keep me and my sons away from worshipping idols.",Ibrahim 14:35,Dua & Supplication,Makki
رَبِّ إِنَّهُنَّ أَضۡلَلۡنَ كَثِیرࣰا مِّنَ ٱلنَّاسِۖ فَمَن تَبِعَنِی فَإِنَّهُۥ مِنِّیۖ وَمَنۡ عَصَانِی فَإِنَّكَ غَفُورࣱ رَّحِیمࣱ,"My Lord, indeed they have led astray many among the people. So whoever follows me - then he is of me; and whoever disobeys me - indeed, You are [yet] Forgiving and Merciful.",Ibrahim 14:36,General,Makki
رَّبَّنَاۤ إِنِّیۤ أَسۡكَنتُ مِن ذُرِّیَّتِی بِوَادٍ غَیۡرِ ذِی زَرۡعٍ عِندَ بَیۡتِكَ ٱلۡمُحَرَّمِ رَبَّنَا لِیُقِیمُوا۟ ٱلصَّلَوٰةَ فَٱجۡعَلۡ أَفۡـِٔدَةࣰ مِّنَ ٱلنَّاسِ تَهۡوِیۤ إِلَیۡهِمۡ وَٱرۡزُقۡهُم مِّنَ ٱلثَّمَرَ ٰ⁠تِ لَعَلَّهُمۡ یَشۡكُرُونَ,"Our Lord, I have settled some of my descendants in an uncultivated valley near Your sacred House, our Lord, that they may establish prayer. So make hearts among the people incline toward them and provide for them from the fruits that they might be grateful.",Ibrahim 14:37,General,Makki
رَبَّنَاۤ إِنَّكَ تَعۡلَمُ مَا نُخۡفِی وَمَا نُعۡلِنُۗ وَمَا یَخۡفَىٰ عَلَى ٱللَّهِ مِن شَیۡءࣲ فِی ٱلۡأَرۡضِ وَلَا فِی ٱلسَّمَاۤءِ,"Our Lord, indeed You know what we conceal and what we declare, and nothing is hidden from Allah on the earth or in the heaven.",Ibrahim 14:38,General,Makki
ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِی وَهَبَ لِی عَلَى ٱلۡكِبَرِ إِسۡمَـٰعِیلَ وَإِسۡحَـٰقَۚ إِنَّ رَبِّی لَسَمِیعُ ٱلدُّعَاۤءِ,"Praise to Allah, who has granted to me in old age Ishmael and Isaac. Indeed, my Lord is the Hearer of supplication.",Ibrahim 14:39,General,Makki
رَبِّ ٱجۡعَلۡنِی مُقِیمَ ٱلصَّلَوٰةِ وَمِن ذُرِّیَّتِیۚ رَبَّنَا وَتَقَبَّلۡ دُعَاۤءِ,"My Lord, make me an establisher of prayer, and [many] from my descendants. Our Lord, and accept my supplication.",Ibrahim 14:40,Dua & Supplication,Makki
رَبَّنَا ٱغۡفِرۡ لِی وَلِوَ ٰ⁠لِدَیَّ وَلِلۡمُؤۡمِنِینَ یَوۡمَ یَقُومُ ٱلۡحِسَابُ,"Our Lord, forgive me and my parents and the believers the Day the account is established.""",Ibrahim 14:41,Dua & Supplication,Makki
وَلَا تَحۡسَبَنَّ ٱللَّهَ غَـٰفِلًا عَمَّا یَعۡمَلُ ٱلظَّـٰلِمُونَۚ إِنَّمَا یُؤَخِّرُهُمۡ لِیَوۡمࣲ تَشۡخَصُ فِیهِ ٱلۡأَبۡصَـٰرُ,And never think that Allah is unaware of what the wrongdoers do. He only delays them for a Day when eyes will stare [in horror].,Ibrahim 14:42,General,Makki
مُهۡطِعِینَ مُقۡنِعِی رُءُوسِهِمۡ لَا یَرۡتَدُّ إِلَیۡهِمۡ طَرۡفُهُمۡۖ وَأَفۡـِٔدَتُهُمۡ هَوَاۤءࣱ,"Racing ahead, their heads raised up, their glance does not come back to them, and their hearts are void.",Ibrahim 14:43,General,Makki
وَأَنذِرِ ٱلنَّاسَ یَوۡمَ یَأۡتِیهِمُ ٱلۡعَذَابُ فَیَقُولُ ٱلَّذِینَ ظَلَمُوا۟ رَبَّنَاۤ أَخِّرۡنَاۤ إِلَىٰۤ أَجَلࣲ قَرِیبࣲ نُّجِبۡ دَعۡوَتَكَ وَنَتَّبِعِ ٱلرُّسُلَۗ أَوَلَمۡ تَكُونُوۤا۟ أَقۡسَمۡتُم مِّن قَبۡلُ مَا لَكُم مِّن زَوَالࣲ,"And, [O Muhammad], warn the people of a Day when the punishment will come to them and those who did wrong will say, ""Our Lord, delay us for a short term; we will answer Your call and follow the messengers."" [But it will be said], ""Had you not sworn, before, that for you there would be no cessation?",Ibrahim 14:44,Warning & Admonition,Makki
وَسَكَنتُمۡ فِی مَسَـٰكِنِ ٱلَّذِینَ ظَلَمُوۤا۟ أَنفُسَهُمۡ وَتَبَیَّنَ لَكُمۡ كَیۡفَ فَعَلۡنَا بِهِمۡ وَضَرَبۡنَا لَكُمُ ٱلۡأَمۡثَالَ,"And you lived among the dwellings of those who wronged themselves, and it had become clear to you how We dealt with them. And We presented for you [many] examples.""",Ibrahim 14:45,General,Makki
وَقَدۡ مَكَرُوا۟ مَكۡرَهُمۡ وَعِندَ ٱللَّهِ مَكۡرُهُمۡ وَإِن كَانَ مَكۡرُهُمۡ لِتَزُولَ مِنۡهُ ٱلۡجِبَالُ,"And they had planned their plan, but with Allah is [recorded] their plan, even if their plan had been [sufficient] to do away with the mountains.",Ibrahim 14:46,General,Makki
فَلَا تَحۡسَبَنَّ ٱللَّهَ مُخۡلِفَ وَعۡدِهِۦ رُسُلَهُۥۤۚ إِنَّ ٱللَّهَ عَزِیزࣱ ذُو ٱنتِقَامࣲ,"So never think that Allah will fail in His promise to His messengers. Indeed, Allah is Exalted in Might and Owner of Retribution.",Ibrahim 14:47,General,Makki
یَوۡمَ تُبَدَّلُ ٱلۡأَرۡضُ غَیۡرَ ٱلۡأَرۡضِ وَٱلسَّمَـٰوَ ٰ⁠تُۖ وَبَرَزُوا۟ لِلَّهِ ٱلۡوَ ٰ⁠حِدِ ٱلۡقَهَّارِ,"[It will be] on the Day the earth will be replaced by another earth, and the heavens [as well], and all creatures will come out before Allah, the One, the Prevailing.",Ibrahim 14:48,General,Makki
وَتَرَى ٱلۡمُجۡرِمِینَ یَوۡمَىِٕذࣲ مُّقَرَّنِینَ فِی ٱلۡأَصۡفَادِ,"And you will see the criminals that Day bound together in shackles,",Ibrahim 14:49,General,Makki
سَرَابِیلُهُم مِّن قَطِرَانࣲ وَتَغۡشَىٰ وُجُوهَهُمُ ٱلنَّارُ,Their garments of liquid pitch and their faces covered by the Fire.,Ibrahim 14:50,General,Makki
لِیَجۡزِیَ ٱللَّهُ كُلَّ نَفۡسࣲ مَّا كَسَبَتۡۚ إِنَّ ٱللَّهَ سَرِیعُ ٱلۡحِسَابِ,"So that Allah will recompense every soul for what it earned. Indeed, Allah is swift in account.",Ibrahim 14:51,General,Makki
هَـٰذَا بَلَـٰغࣱ لِّلنَّاسِ وَلِیُنذَرُوا۟ بِهِۦ وَلِیَعۡلَمُوۤا۟ أَنَّمَا هُوَ إِلَـٰهࣱ وَ ٰ⁠حِدࣱ وَلِیَذَّكَّرَ أُو۟لُوا۟ ٱلۡأَلۡبَـٰبِ,This [Qur'an] is notification for the people that they may be warned thereby and that they may know that He is but one God and that those of understanding will be reminded.,Ibrahim 14:52,General,Makki
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ الۤرۚ تِلۡكَ ءَایَـٰتُ ٱلۡكِتَـٰبِ وَقُرۡءَانࣲ مُّبِینࣲ,"Alif, Lam, Ra. These are the verses of the Book and a clear Qur'an.",Al-Hijr 15:1,General,Makki
رُّبَمَا یَوَدُّ ٱلَّذِینَ كَفَرُوا۟ لَوۡ كَانُوا۟ مُسۡلِمِینَ,Perhaps those who disbelieve will wish that they had been Muslims.,Al-Hijr 15:2,General,Makki
ذَرۡهُمۡ یَأۡكُلُوا۟ وَیَتَمَتَّعُوا۟ وَیُلۡهِهِمُ ٱلۡأَمَلُۖ فَسَوۡفَ یَعۡلَمُونَ,"Let them eat and enjoy themselves and be diverted by [false] hope, for they are going to know.",Al-Hijr 15:3,General,Makki
وَمَاۤ أَهۡلَكۡنَا مِن قَرۡیَةٍ إِلَّا وَلَهَا كِتَابࣱ مَّعۡلُومࣱ,And We did not destroy any city but that for it was a known decree.,Al-Hijr 15:4,General,Makki
مَّا تَسۡبِقُ مِنۡ أُمَّةٍ أَجَلَهَا وَمَا یَسۡتَـٔۡخِرُونَ,"No nation will precede its term, nor will they remain thereafter.",Al-Hijr 15:5,General,Makki
وَقَالُوا۟ یَـٰۤأَیُّهَا ٱلَّذِی نُزِّلَ عَلَیۡهِ ٱلذِّكۡرُ إِنَّكَ لَمَجۡنُونࣱ,"And they say, ""O you upon whom the message has been sent down, indeed you are mad.",Al-Hijr 15:6,General,Makki
لَّوۡ مَا تَأۡتِینَا بِٱلۡمَلَـٰۤىِٕكَةِ إِن كُنتَ مِنَ ٱلصَّـٰدِقِینَ,"Why do you not bring us the angels, if you should be among the truthful?""",Al-Hijr 15:7,General,Makki
مَا نُنَزِّلُ ٱلۡمَلَـٰۤىِٕكَةَ إِلَّا بِٱلۡحَقِّ وَمَا كَانُوۤا۟ إِذࣰا مُّنظَرِینَ,We do not send down the angels except with truth; and the disbelievers would not then be reprieved.,Al-Hijr 15:8,General,Makki
إِنَّا نَحۡنُ نَزَّلۡنَا ٱلذِّكۡرَ وَإِنَّا لَهُۥ لَحَـٰفِظُونَ,"Indeed, it is We who sent down the Qur'an and indeed, We will be its guardian.",Al-Hijr 15:9,General,Makki
وَلَقَدۡ أَرۡسَلۡنَا مِن قَبۡلِكَ فِی شِیَعِ ٱلۡأَوَّلِینَ,"And We had certainly sent [messengers] before you, [O Muhammad], among the sects of the former peoples.",Al-Hijr 15:10,General,Makki
وَمَا یَأۡتِیهِم مِّن رَّسُولٍ إِلَّا كَانُوا۟ بِهِۦ یَسۡتَهۡزِءُونَ,And no messenger would come to them except that they ridiculed him.,Al-Hijr 15:11,General,Makki
كَذَ ٰ⁠لِكَ نَسۡلُكُهُۥ فِی قُلُوبِ ٱلۡمُجۡرِمِینَ,Thus do We insert denial into the hearts of the criminals.,Al-Hijr 15:12,General,Makki
لَا یُؤۡمِنُونَ بِهِۦ وَقَدۡ خَلَتۡ سُنَّةُ ٱلۡأَوَّلِینَ,"They will not believe in it, while there has already occurred the precedent of the former peoples.",Al-Hijr 15:13,General,Makki
وَلَوۡ فَتَحۡنَا عَلَیۡهِم بَابࣰا مِّنَ ٱلسَّمَاۤءِ فَظَلُّوا۟ فِیهِ یَعۡرُجُونَ,"And [even] if We opened to them a gate from the heaven and they continued therein to ascend,",Al-Hijr 15:14,General,Makki
لَقَالُوۤا۟ إِنَّمَا سُكِّرَتۡ أَبۡصَـٰرُنَا بَلۡ نَحۡنُ قَوۡمࣱ مَّسۡحُورُونَ,"They would say, ""Our eyes have only been dazzled. Rather, we are a people affected by magic.""",Al-Hijr 15:15,General,Makki
